2324,626,627,44,919,266,272,18,1157,297,299,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2054,539,591,0,438,106,120,0,542,139,158,0,232,56,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
977,326,286,10,0,0,0,0,2185,665,596,19,0,0,0,0,336,104,92,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3899,940,1065,9,210,50,49,1,2511,616,675,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3947,977,1101,9,210,50,51,1,2565,645,725,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4098,1091,1186,0,221,60,59,0,2629,696,776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,554,586,35,456,118,128,7,1363,355,395,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1109,353,344,18,899,276,280,20,1282,404,385,26,222,67,68,5,231,69,75,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3573,1047,1151,0,282,92,88,0,1349,413,451,0,0,0,0,0,189,59,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5518,1369,1709,73,816,195,250,8,1349,334,410,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6749,1875,2030,0,1226,338,360,0,872,243,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5288,1456,1553,7,536,154,158,0,1333,363,398,1,186,52,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5215,1447,1535,8,383,113,116,0,1303,356,390,0,189,53,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
